experiment,AUC_mean,AUC_std,MAP@1_mean,MAP@1_std,MAP@5_mean,MAP@5_std,MAP@10_mean,MAP@10_std,NDCG@10_mean,NDCG@10_std,MRR_mean,MRR_std,Hit@1_mean,Hit@1_std,Hit@5_mean,Hit@5_std,Hit@10_mean,Hit@10_std
clip_lora_q_only,0.9340886666666667,0.007944393012265525,0.348889,0.011706107935603536,0.4452963333333333,0.00817254185265109,0.455046,0.009155681897051704,0.5092829999999999,0.010237677617506878,0.46500633333333335,0.008966997565145938,0.348889,0.011706107935603536,0.6077776666666667,0.0050916780469049145,0.68,0.016667000000000015
clip_lora_qkv_r8,0.942948,0.009880838304516481,0.3777776666666666,0.04754690471804309,0.466963,0.035762203466788794,0.4796446666666667,0.03742147022588327,0.535333,0.03674405107769148,0.4897006666666666,0.03680041321869451,0.3777776666666666,0.04754690471804309,0.6177776666666667,0.022770969172757394,0.7133333333333334,0.03806407463562808
clip_lora_qv_out_r8,0.9453406666666666,0.010180168656101241,0.38444433333333333,0.0395906685604912,0.4723886666666666,0.035330578091317254,0.48671533333333333,0.03530452861980551,0.5426676666666667,0.034664033283313536,0.4966246666666667,0.035236427541206095,0.38444433333333333,0.0395906685604912,0.6144443333333333,0.03351089596335299,0.7222223333333333,0.03481179451086461
clip_lora_qv_r8_dim256,0.9433630000000001,0.004372257197375307,0.366667,0.017320508075688777,0.464167,0.009928057262123358,0.47800899999999996,0.00574380953723223,0.5367323333333333,0.0018043728365649103,0.4880093333333333,0.006014207872474431,0.366667,0.017320508075688777,0.621111,0.015396199628479757,0.7233333333333333,0.013333500003124946
resnet_batch_hard_left_only_neg,0.7912036666666667,0.022932578362088583,0.13666666666666666,0.02728428526337704,0.18650033333333335,0.02267930325943311,0.196281,0.024123746869008564,0.232527,0.024257146184166023,0.21196566666666664,0.025197706529232637,0.13666666666666666,0.02728428526337704,0.2755556666666667,0.017105154086804766,0.3499996666666667,0.02516611478423586
resnet_batch_hard_mixed_neg,0.8004443333333334,0.009569151181444148,0.11888866666666666,0.005091787145328568,0.17300000000000001,0.021335926204409307,0.18558699999999997,0.020400342521634297,0.22677933333333333,0.025850651294180828,0.20085166666666665,0.019908378169336983,0.11888866666666666,0.005091787145328568,0.26666666666666666,0.04409617015493898,0.36111133333333334,0.048572073214279546
resnet_random_mining_mixed_neg,0.8428963333333334,0.020715598575308757,0.13333333333333333,0.005773502691896261,0.19844466666666669,0.01099193419436875,0.210329,0.013062480277497089,0.25608533333333333,0.01671750089975573,0.22617433333333334,0.013235624440627406,0.13333333333333333,0.005773502691896261,0.31111133333333335,0.007697811139105287,0.40444433333333335,0.030971862978085993
